,categoria,item,precio
0,catalogos,Clarín Anuario De Autos 2019,449.9
1,catalogos,Catalogo De Arte 90 Años De La Facultad De Teologia,135.0
2,catalogos,Catalogo De Ropa Interior Lody  2019  Nuevo!!!,190.0
3,catalogos,Catálogo De Arte Rupestre Jujuy Y Su Región - Distel **,499.0
4,catalogos,Catalogo De Pinturas Al Oleo Artistas Famosos,299.0
5,catalogos,Miller Collectors Cars * Price Guide * Catalogo Autos 1995,798.72
6,catalogos,Antiguo Catálogo Autos Lubricantes Aceite Puromoly Años 70,160.0
7,catalogos,Catalogo De Arte Collection Edmond Noel Paris 1924,680.0
8,catalogos,Revista Christies Magazine Catalogo De Arte Junio De 1996,300.0
9,catalogos,Catálogo Dolce & Gabanna Women's Collection Winter 2015,599.0
10,catalogos,Yente- Catalogo De Arte 2013 (eugenia Crenovich),1237.6
11,catalogos,Folleto Catálogo Motos Bmw Gama 2000 Original - Excelente,430.0
12,catalogos,Libro Alfa 156 Tapa Dura Alfa Romeo,500.0
13,catalogos,Ford 1944-1952 Catalogo Body Parts  Version Papel Una Joya,3795.0
14,catalogos,Catalogo De Arte Y Pintura Miguel Rios Editó Der Brücke,400.0
15,catalogos,Catalogo De Arte De Rosenstiel´ S   -   London,455.0
16,catalogos,Revista Christies Magazine Catalogo De Arte Abril De 1991,300.0
17,catalogos,Catalogo De Moda Antiguo 1948 - Jelmoli Zurich,215.0
18,catalogos,Catalogo De Arte Fernando Calderon,180.0
19,catalogos,Catalogo De Arte Asiatico Museos De San Francisco En Aleman,280.0
20,catalogos,Catálogo De Pinturas Del Smith College Museum Of Art,100.0
21,catalogos,Libro Tapa Dura Alfa Romeo 166,500.0
22,catalogos,Fernando Fader  - Catalogo De Arte - Año 2002,150.0
23,catalogos,Manual Catálogo De Piezas Fiat 125 Berlina Concord Sevel,150.0
24,catalogos,Micro Machines Carton Catalogo Autos 1997,75.0
25,catalogos,Catálogo Fifty The Amazing Story Of Renzo Rosso And Diesel,1699.0
26,catalogos,Folletería Catálogos Peugeot 505 Sevel,220.0
27,catalogos,Auto Mercedes Benz Clase E Catalogo Autos De Lujo Años 90,350.0
28,catalogos,Kirin Catalogo De Arte,350.0
29,catalogos,"Harley Davidson 1989/1997, Catalogo De Pinturas Y Codigos",1450.0
30,catalogos,Catalogo De Arte Esclerosis Multiple Argentina 2005,150.0
31,catalogos,Tunga - Catalogo De Arte 1999 * Centro Cultural Recoleta,100.0
32,catalogos,Horacio Butler Catalogo De Arte Galerias Van Riel 1968,100.0
33,catalogos,Catálogo adidas Celebrate Originality Y Cd,599.0
34,catalogos,Catalogo Renault 5 ,660.0
